Time(s),Velocity(m/s),Accel(m/s^2),Pressure(kPa),Altitude(m)
5.705705706,27.90432432,15.06504505,99.94255255,48.79720721
5.765765766,28.83405405,15.14972973,99.87468468,50.74675676
5.825825826,29.76378378,15.23441441,99.80681682,52.69630631
5.885885886,30.69351351,15.3190991,99.73894895,54.64585586
5.945945946,31.62324324,15.40378378,99.67108108,56.59540541
6.006006006,32.52936937,15.4563964,99.61072072,58.61432432
6.066066066,33.22306306,15.22036036,99.61792793,61.25756757
6.126126126,33.91675676,14.98432432,,63.90081081
6.186186186,34.61045045,14.74828829,99.63234234,66.54405405
6.246246246,35.30414414,14.51225225,99.63954955,69.1872973
,,,,71.83054054
,36.69153153,14.04018018,99.65396396,74.47378378
,37.38522523,13.80414414,99.66117117,77.11702703
,38.07891892,13.56810811,99.66837838,79.76027027
6.546546547,38.77261261,13.33207207,99.67558559,82.40351351
6.606606607,39.46630631,13.09603604,99.68279279,85.04675676
6.666666667,40.16,12.86,99.69,87.69
6.726726727,40.85369369,12.62396396,99.69720721,90.33324324
6.786786787,41.54738739,12.38792793,99.70441441,92.97648649
6.846846847,42.24108108,12.15189189,99.71162162,95.61972973
6.906906907,42.93477477,11.91585586,99.71882883,98.26297297
6.966966967,43.62846847,,99.72603604,100.9062162
7.027027027,44.36081081,,99.7227027,103.9002703
7.087087087,45.14039039,,99.70648649,107.3230931
7.147147147,45.91996997,11.75894895,99.69027027,110.7459159
7.207207207,46.69954955,11.84423423,99.67405405,114.1687387
7.267267267,47.47912913,11.92951952,99.65783784,117.5915616
7.327327327,48.25870871,12.0148048,99.64162162,121.0143844
7.387387387,49.03828829,12.10009009,99.62540541,124.4372072
7.447447447,49.81786787,12.18537538,99.60918919,127.86003
7.507507508,50.59744745,12.27066066,99.59297297,131.2828529
7.567567568,51.37702703,12.35594595,99.57675676,134.7056757
7.627627628,52.15660661,12.44123123,99.56054054,138.1284985
7.687687688,52.93618619,12.52651652,99.54432432,141.5513213
7.747747748,53.71576577,12.6118018,99.52810811,144.9741441
7.807807808,54.49534535,12.69708709,99.51189189,148.396967
7.867867868,55.27492492,12.78237237,99.49567568,151.8197898
7.927927928,56.0545045,12.86765766,99.47945946,155.2426126
7.987987988,56.83408408,12.95294294,99.46324324,158.6654354
8.048048048,57.62327327,12.98009009,99.37687688,162.7215315
8.108108108,58.41486486,12.9927027,99.27297297,166.9359459
8.168168168,59.20645646,13.00531532,99.16906907,171.1503604
8.228228228,59.99804805,13.01792793,99.06516517,175.3647748
8.288288288,60.78963964,13.03054054,98.96126126,179.5791892
8.348348348,61.58123123,13.04315315,98.85735736,183.7936036
8.408408408,62.37282282,13.05576577,98.75345345,188.008018
8.468468468,63.16441441,13.06837838,98.64954955,192.2224324
8.528528529,63.95600601,13.08099099,98.54564565,196.4368468
8.588588589,64.7475976,,,200.6512613
8.648648649,65.53918919,,,204.8656757
8.708708709,66.33078078,,,209.0800901
8.768768769,67.12237237,,,213.2945045
8.828828829,67.91396396,13.14405405,98.02612613,217.5089189
8.888888889,68.70555556,13.15666667,97.92222222,221.7233333
8.948948949,69.49714715,13.16927928,97.81831832,225.9377477
,,,,
,,,,
9.129129129,72.48528529,13.79336336,97.66672673,240.8962763
9.189189189,73.56216216,14.07864865,97.6372973,246.1875676
9.249249249,74.63903904,14.36393393,97.60786787,251.4788589
9.309309309,75.71591592,14.64921922,97.57843844,256.7701502
9.369369369,,,,
9.429429429,77.86966967,15.21978979,97.51957958,267.3527327
9.489489489,78.94654655,,97.49015015,272.644024
9.54954955,80.02342342,15.79036036,97.46072072,277.9353153
9.60960961,81.1003003,16.07564565,97.43129129,283.2266066
9.66966967,82.17717718,16.36093093,97.40186186,288.5178979
9.72972973,83.25405405,16.64621622,97.37243243,293.8091892
9.78978979,84.33093093,16.9315015,97.343003,299.1004805
9.84984985,85.40780781,17.21678679,97.31357357,304.3917718
9.90990991,86.48468468,17.50207207,97.28414414,309.6830631
9.96996997,87.56156156,17.78735736,97.25471471,314.9743544
10.03003003,88.55465465,17.84621622,97.18474474,320.72
10.09009009,89.46396396,17.67864865,97.07423423,326.92
10.15015015,90.37327327,17.51108108,96.96372372,333.12
10.21021021,91.28258258,17.34351351,96.85321321,339.32
10.27027027,92.19189189,17.17594595,96.7427027,345.52
10.33033033,93.1012012,17.00837838,96.63219219,351.72
10.39039039,94.01051051,16.84081081,96.52168168,357.92
10.45045045,94.91981982,16.67324324,96.41117117,364.12
10.51051051,95.82912913,16.50567568,96.30066066,370.32
10.57057057,96.73843844,16.33810811,96.19015015,376.52
10.63063063,,16.17054054,96.07963964,382.72
10.69069069,,16.00297297,95.96912913,388.92
10.75075075,,15.83540541,95.85861862,395.12
10.81081081,,15.66783784,95.74810811,401.32
10.87087087,101.284985,15.50027027,95.6375976,407.52
10.93093093,102.1942943,15.3327027,95.52708709,413.72
10.99099099,103.1036036,15.16513514,95.41657658,419.92
11.05105105,103.9501201,15.07720721,95.36783784,426.8306306
11.11111111,104.7855556,15.00333333,95.33,433.8666667
11.17117117,105.620991,14.92945946,95.29216216,440.9027027
11.23123123,106.4564264,14.85558559,95.25432432,447.9387387
11.29129129,107.2918619,14.78171171,95.21648649,454.9747748
11.35135135,108.1272973,14.70783784,95.17864865,462.0108108
11.41141141,108.9627327,14.63396396,95.14081081,469.0468468
11.47147147,109.7981682,14.56009009,95.10297297,476.0828829
11.53153153,110.6336036,14.48621622,95.06513514,483.1189189
11.59159159,111.469039,14.41234234,95.0272973,490.154955
11.65165165,112.3044745,14.33846847,94.98945946,497.190991
11.71171171,113.1399099,14.26459459,94.95162162,504.227027
11.77177177,113.9753453,14.19072072,94.91378378,511.2630631
11.83183183,114.8107808,14.11684685,94.87594595,518.2990991
11.89189189,115.6462162,14.04297297,94.83810811,525.3351351
11.95195195,116.4816517,13.9690991,94.80027027,532.3711712
12.01201201,117.3025526,13.89546547,94.75318318,539.5597598
12.07207207,118.0653153,13.82279279,94.6690991,547.3585586
12.13213213,118.8280781,13.75012012,94.58501502,555.1573574
12.19219219,119.5908408,13.67744745,94.50093093,562.9561562
12.25225225,120.3536036,13.60477477,94.41684685,570.754955
12.31231231,121.1163664,13.5321021,94.33276276,578.5537538
12.37237237,121.8791291,13.45942943,94.24867868,586.3525526
12.43243243,122.6418919,,94.16459459,594.1513514
12.49249249,123.4046547,,94.08051051,601.9501502
12.55255255,124.1674174,,93.99642643,609.7489489
12.61261261,124.9301802,,93.91234234,617.5477477
12.67267267,125.6929429,,93.82825826,625.3465465
12.73273273,126.4557057,,93.74417417,633.1453453
12.79279279,127.2184685,12.95072072,93.66009009,640.9441441
12.85285285,127.9812312,12.87804805,93.57600601,648.7429429
12.91291291,128.743994,12.80537538,93.49192192,656.5417417
12.97297297,129.5067568,12.7327027,93.40783784,664.3405405
13.03303303,130.3055255,12.73633634,93.30426426,672.5948649
13.09309309,131.1337538,12.8024024,93.18474474,681.2218919
13.15315315,131.961982,12.86846847,93.06522523,689.8489189
13.21321321,132.7902102,12.93453453,92.94570571,698.4759459
13.27327327,133.6184384,13.0006006,92.82618619,707.102973
13.33333333,134.4466667,13.06666667,92.70666667,715.73
13.39339339,135.2748949,13.13273273,92.58714715,724.357027
13.45345345,136.1031231,13.1987988,92.46762763,732.9840541
13.51351351,136.9313514,13.26486486,101.8589189,741.6110811
13.57357357,137.7595796,13.33093093,101.8048649,750.2381081
13.63363363,138.5878078,13.396997,101.7508108,758.8651351
13.69369369,139.416036,13.46306306,101.6967568,767.4921622
13.75375375,140.2442643,13.52912913,101.6427027,776.1191892
13.81381381,141.0724925,13.5951952,101.5886486,784.7462162
13.87387387,141.9007207,13.66126126,101.5345946,793.3732432
13.93393393,142.7289489,13.72732733,101.4805405,802.0002703
13.99399399,143.5571772,13.79339339,101.4264865,810.6272973
14.05405405,143.4994595,12.91351351,101.3724324,819.1137838
14.11411411,143.3433033,11.92852853,101.3183784,827.5846547
14.17417417,143.1871471,10.94354354,101.2643243,836.0555255
14.23423423,143.030991,9.958558559,101.2102703,844.5263964
14.29429429,142.8748348,8.973573574,101.1562162,852.9972673
14.35435435,142.7186787,7.988588589,91.19573574,861.4681381
14.41441441,142.5625225,7.003603604,91.1645045,869.939009
14.47447447,142.4063664,6.018618619,91.13327327,878.4098799
14.53453453,142.2502102,5.033633634,91.10204204,886.8807508
14.59459459,142.0940541,4.048648649,91.07081081,895.3516216
14.65465465,141.9378979,3.063663664,91.03957958,903.8224925
14.71471471,141.7817417,2.078678679,91.00834835,912.2933634
14.77477477,141.6255856,1.093693694,90.97711712,920.7642342
14.83483483,141.4694294,0.108708709,90.94588589,929.2351051
14.89489489,141.3132733,-0.876276276,90.91465465,937.705976
14.95495495,141.1571171,-1.861261261,90.88342342,946.1768468
15.01501502,141.0098198,-2.591141141,90.8148048,954.6175375
15.07507508,140.8890991,-2.555705706,90.63402402,962.9676877
15.13513514,140.7683784,-2.52027027,90.45324324,971.3178378
15.1951952,140.6476577,-2.484834835,90.27246246,979.667988
15.25525526,140.5269369,-2.449399399,90.09168168,988.0181381
15.31531532,140.4062162,-2.413963964,89.9109009,996.3682883
15.37537538,140.2854955,-2.378528529,89.73012012,1004.718438
15.43543544,140.1647748,-2.343093093,89.54933934,1013.068589
15.4954955,140.0440541,-2.307657658,89.36855856,1021.418739
15.55555556,139.9233333,-2.272222222,89.18777778,1029.768889
15.61561562,139.8026126,-2.236786787,89.006997,1038.119039
15.67567568,139.6818919,-2.201351351,88.82621622,1046.469189
15.73573574,139.5611712,-2.165915916,88.64543544,1054.819339
15.7957958,139.4404505,-2.13048048,88.46465465,1063.169489
15.85585586,139.3197297,-2.095045045,88.28387387,1071.51964
15.91591592,139.199009,-2.05960961,88.10309309,1079.86979
15.97597598,139.0782883,-2.024174174,87.92231231,1088.21994
16.03603604,138.9874775,-1.98009009,87.7927027,1096.527568
16.0960961,138.9166066,-1.93024024,87.69720721,1104.806847
16.15615616,138.8457357,-1.88039039,87.60171171,1113.086126
16.21621622,138.7748649,-1.830540541,87.50621622,1121.365405
16.27627628,138.703994,-1.780690691,87.41072072,1129.644685
16.33633634,138.6331231,-1.730840841,87.31522523,1137.923964
16.3963964,138.5622523,-1.680990991,87.21972973,1146.203243
16.45645646,138.4913814,-1.631141141,87.12423423,1154.482523
16.51651652,138.4205105,-1.581291291,87.02873874,1162.761802
16.57657658,138.3496396,-1.531441441,86.93324324,1171.041081
16.63663664,138.2787688,-1.481591592,86.83774775,1179.32036
16.6966967,138.2078979,-1.431741742,86.74225225,1187.59964
16.75675676,138.137027,-1.381891892,86.64675676,1195.878919
16.81681682,138.0661562,-1.332042042,86.55126126,1204.158198
16.87687688,137.9952853,-1.282192192,86.45576577,1212.437477
16.93693694,137.9244144,-1.232342342,86.36027027,1220.716757
16.996997,137.8535435,-1.182492492,86.26477477,1228.996036
17.05705706,137.7478679,-1.214804805,86.15501502,1237.173183
17.11711712,137.6403604,-1.251441441,86.0445045,1245.344955
17.17717718,137.5328529,-1.288078078,85.93399399,1253.516727
17.23723724,137.4253453,-1.324714715,85.82348348,1261.688498
17.2972973,137.3178378,-1.361351351,85.71297297,1269.86027
17.35735736,137.2103303,-1.397987988,85.60246246,1278.032042
17.41741742,137.1028228,-1.434624625,85.49195195,1286.203814
17.47747748,136.9953153,-1.471261261,85.38144144,1294.375586
17.53753754,136.8878078,-1.507897898,85.27093093,1302.547357
17.5975976,136.7803003,-1.544534535,85.16042042,1310.719129
17.65765766,136.6727928,-1.581171171,85.04990991,1318.890901
17.71771772,136.5652853,-1.617807808,84.9393994,1327.062673
17.77777778,136.4577778,-1.654444444,84.82888889,1335.234444
17.83783784,136.3502703,-1.691081081,84.71837838,1343.406216
17.8978979,136.2427628,-1.727717718,84.60786787,1351.577988
17.95795796,136.1352553,-1.764354354,84.49735736,1359.74976
18.01801802,136,-1.817747748,84.41423423,1367.861532
18.07807808,135.8,-1.91024024,84.39501502,1375.833303
18.13813814,135.6,-2.002732733,84.3757958,1383.805075
18.1981982,135.4,-2.095225225,84.35657658,1391.776847
18.25825826,135.2,-2.187717718,84.33735736,1399.748619
18.31831832,135,-2.28021021,,1407.72039
18.37837838,134.8,-2.372702703,,1415.692162
18.43843844,134.6,-2.465195195,,1423.663934
18.4984985,134.4,-2.557687688,,1431.635706
18.55855856,134.2,-2.65018018,,1439.607477
18.61861862,134,-2.742672673,,1447.579249
18.67867868,133.8,-2.835165165,,1455.551021
18.73873874,133.6,-2.927657658,84.1836036,1463.522793
18.7987988,133.4,-3.02015015,84.16438438,1471.494565
18.85885886,133.2,-3.112642643,84.14516517,1479.466336
18.91891892,133,-3.205135135,84.12594595,1487.438108
18.97897898,132.8,-3.297627628,84.10672673,1495.40988
19.03903904,132.6808108,-3.249189189,84.04612613,1503.332462
19.0990991,132.6051351,-3.124864865,83.96324324,1511.228559
19.15915916,132.5294595,-3.000540541,83.88036036,1519.124655
19.21921922,132.4537838,-2.876216216,83.79747748,1527.020751
19.27927928,132.3781081,-2.751891892,83.71459459,1534.916847
19.33933934,132.3024324,-2.627567568,83.63171171,1542.812943
19.3993994,132.2267568,-2.503243243,83.54882883,1550.709039
19.45945946,132.1510811,-2.378918919,83.46594595,1558.605135
19.51951952,132.0754054,-2.254594595,83.38306306,1566.501231
19.57957958,131.9997297,-2.13027027,83.30018018,1574.397327
19.63963964,131.9240541,-2.005945946,83.2172973,1582.293423
19.6996997,131.8483784,-1.881621622,83.13441441,1590.18952
19.75975976,131.7727027,-1.757297297,83.05153153,1598.085616
19.81981982,131.697027,-1.632972973,82.96864865,1605.981712
19.87987988,131.6213514,-1.508648649,82.88576577,1613.877808
19.93993994,131.5456757,-1.384324324,82.80288288,1621.773904
20,131.47,-1.26,82.72,1629.67
20.06006006,131.3426727,-1.311651652,82.62570571,1637.439369
20.12012012,131.2153453,-1.363303303,82.53141141,1645.208739
20.18018018,131.088018,-1.414954955,82.43711712,1652.978108
20.24024024,130.9606907,-1.466606607,82.34282282,1660.747477
20.3003003,130.8333634,-1.518258258,82.24852853,1668.516847
20.36036036,130.706036,-1.56990991,82.15423423,1676.286216
20.42042042,130.5787087,-1.621561562,82.05993994,1684.055586
20.48048048,130.4513814,-1.673213213,81.96564565,1691.824955
20.54054054,130.3240541,-1.724864865,81.87135135,1699.594324
20.6006006,130.1967267,-1.776516517,81.77705706,1707.363694
20.66066066,130.0693994,-1.828168168,81.68276276,1715.133063
20.72072072,129.9420721,-1.87981982,81.58846847,1722.902432
20.78078078,129.8147447,-1.931471471,81.49417417,1730.671802
20.84084084,129.6874174,-1.983123123,81.39987988,1738.441171
20.9009009,129.5600901,-2.034774775,81.30558559,1746.210541
20.96096096,129.4327628,-2.086426426,81.21129129,1753.97991
21.02102102,129.2611862,-2.148588589,81.1190991,1761.675916
21.08108108,129.0074324,-2.23027027,81.03081081,1769.235676
21.14114114,128.7536787,-2.311951952,80.94252252,1776.795435
21.2012012,128.4999249,-2.393633634,80.85423423,1784.355195
21.26126126,128.2461712,-2.475315315,80.76594595,1791.914955
21.32132132,127.9924174,-2.556996997,80.67765766,1799.474715
21.38138138,127.7386637,-2.638678679,80.58936937,1807.034474
21.44144144,127.4849099,-2.72036036,80.50108108,1814.594234
21.5015015,127.2311562,-2.802042042,80.41279279,1822.153994
21.56156156,,-2.883723724,80.3245045,1829.713754
21.62162162,,-2.965405405,80.23621622,1837.273514
21.68168168,,-3.047087087,80.14792793,1844.833273
21.74174174,,-3.128768769,80.05963964,1852.393033
21.8018018,,-3.21045045,79.97135135,1859.952793
21.86186186,,-3.292132132,79.88306306,1867.512553
21.92192192,,-3.373813814,79.79477477,1875.072312
21.98198198,,-3.455495495,79.70648649,1882.632072
22.04204204,124.9473724,-3.437117117,79.66570571,1890.088829
22.1021021,124.6936186,-3.375855856,79.64528529,1897.501441
22.16216216,124.4398649,-3.314594595,79.62486486,1904.914054
22.22222222,124.1861111,-3.253333333,79.60444444,1912.326667
22.28228228,123.9323574,-3.192072072,79.58402402,1919.739279
22.34234234,123.6786036,-3.130810811,79.5636036,1927.151892
22.4024024,123.4248498,-3.06954955,79.54318318,1934.564505
22.46246246,123.1710961,-3.008288288,,
22.52252252,122.9173423,-2.947027027,,
22.58258258,122.6635886,-2.885765766,,
22.64264264,122.4098348,-2.824504505,,
22.7027027,122.1560811,-2.763243243,,
22.76276276,121.9023273,-2.701981982,,
22.82282282,121.6485736,-2.640720721,,
22.88288288,121.3948198,-2.579459459,79.37981982,1993.865405
22.94294294,121.1410661,-2.518198198,79.3593994,2001.278018
23.003003,120.8873123,-2.457597598,79.33219219,2008.64223
23.06306306,120.6335586,-2.40954955,79.17603604,2015.086824
23.12312312,120.3798048,-2.361501502,79.01987988,2021.531419
23.18318318,120.1260511,-2.313453453,78.86372372,2027.976014
23.24324324,119.8722973,-2.265405405,78.70756757,2034.420608
23.3033033,119.6185435,-2.217357357,78.55141141,2040.865203
23.36336336,119.3647898,-2.169309309,78.39525526,2047.309797
23.42342342,119.111036,-2.121261261,78.2390991,2053.754392
23.48348348,118.8572823,-2.073213213,78.08294294,2060.198986
23.54354354,118.6035285,-2.025165165,77.92678679,2066.643581
23.6036036,118.3497748,-1.977117117,77.77063063,2073.088176
23.66366366,118.096021,-1.929069069,77.61447447,2079.53277
23.72372372,117.8422673,-1.881021021,77.45831832,2085.977365
23.78378378,117.5885135,-1.832972973,77.30216216,2092.421959
23.84384384,117.3347598,-1.784924925,77.14600601,2098.866554
23.9039039,117.081006,-1.736876877,76.98984985,2105.311149
23.96396396,116.8272523,-1.688828829,76.83369369,2111.755743
24.02402402,116.5734985,-1.843783784,76.73039039,2118.200338
24.08408408,116.3197447,-2.303243243,76.70636637,2124.644932
24.14414414,116.065991,-2.762702703,76.68234234,2131.089527
24.2042042,115.8122372,-3.222162162,76.65831832,2137.534122
24.26426426,115.5584835,-3.681621622,76.63429429,2143.978716
24.32432432,115.3047297,-4.141081081,76.61027027,2150.423311
24.38438438,115.050976,-4.600540541,76.58624625,2156.867905
24.44444444,114.7972222,-5.06,76.56222222,2163.3125
24.5045045,114.5434685,-5.519459459,76.5381982,2169.757095
24.56456456,114.2897147,-5.978918919,76.51417417,2176.201689
24.62462462,114.035961,-6.438378378,76.49015015,2182.646284
24.68468468,113.7822072,-6.897837838,76.46612613,2189.090878
24.74474474,113.5284535,-7.357297297,76.4421021,2195.535473
24.8048048,113.2746997,-7.816756757,76.41807808,2201.980068
24.86486486,113.0209459,-8.276216216,76.39405405,2208.424662
24.92492492,112.7671922,-8.735675676,76.37003003,2214.869257
24.98498498,112.5134384,-9.195135135,76.34600601,2221.313851
25.04504505,111.9626126,-9.378018018,76.31927928,2227.758446
25.10510511,,-9.468708709,76.29165165,2234.203041
25.16516517,,-9.559399399,76.26402402,2240.647635
25.22522523,,-9.65009009,76.2363964,2247.09223
25.28528529,,-9.740780781,76.20876877,2253.536824
25.34534535,,-9.831471471,76.18114114,2259.981419
25.40540541,,-9.922162162,76.15351351,2266.426014
25.46546547,,-10.01285285,76.12588589,2272.870608
25.52552553,106.7638138,-10.10354354,76.09825826,2279.315203
46.24624625,106.113964,-10.19423423,76.07063063,2285.759797
46.30630631,105.4641141,-10.28492492,76.043003,
46.36636637,104.8142643,-10.37561562,76.01537538,
46.42642643,104.1644144,-10.46630631,75.98774775,
46.48648649,103.5145646,-10.556997,75.96012012,
46.54654655,102.8647147,-10.64768769,75.93249249,
46.60660661,102.2148649,-10.73837838,75.90486486,
46.66666667,101.5804505,-10.80456456,75.87567568,
,101.084955,-10.65021021,75.83243243,2337.316554
,100.5894595,-10.49585586,75.78918919,2343.761149
,100.093964,-10.3415015,75.74594595,2350.205743
26.24624625,99.59846847,-10.18714715,75.7027027,2356.650338
26.30630631,99.10297297,-10.03279279,75.65945946,2363.094932
26.36636637,98.60747748,-9.878438438,75.61621622,2369.539527
26.42642643,98.11198198,-9.724084084,75.57297297,2375.984122
26.48648649,97.61648649,-9.56972973,75.52972973,2382.428716
26.54654655,97.12099099,-9.415375375,75.48648649,2388.873311
26.60660661,96.6254955,-9.261021021,75.44324324,2395.317905
26.66666667,96.13,-9.106666667,75.4,2401.7625
26.72672673,95.6345045,-8.952312312,75.35675676,2408.207095
26.78678679,95.13900901,-8.797957958,75.31351351,2414.651689
26.84684685,94.64351351,-8.643603604,75.27027027,2421.096284
26.90690691,94.14801802,-8.489249249,75.22702703,2427.540878
26.96696697,93.65252252,-8.334894895,75.18378378,2433.985473
27.02702703,93.08108108,-8.325945946,75.12243243,2439.754865
27.08708709,92.41681682,-8.494714715,75.03894895,2444.699009
27.14714715,91.75255255,-8.663483483,74.95546547,2449.643153
27.20720721,91.08828829,-8.832252252,74.87198198,2454.587297
27.26726727,90.42402402,-9.001021021,74.7884985,2459.531441
27.32732733,89.75975976,-9.16978979,74.70501502,2464.475586
27.38738739,89.0954955,-9.338558559,74.62153153,2469.41973
27.44744745,88.43123123,-9.507327327,74.53804805,2474.363874
27.50750751,87.76696697,-9.676096096,74.45456456,2479.308018
27.56756757,87.1027027,-9.844864865,74.37108108,2484.252162
27.62762763,86.43843844,-10.01363363,74.2875976,2489.196306
27.68768769,85.77417417,-10.1824024,74.20411411,2494.14045
27.74774775,85.10990991,-10.35117117,74.12063063,2499.084595
27.80780781,84.44564565,-10.51993994,74.03714715,2504.028739
27.86786787,83.78138138,-10.68870871,73.95366366,2508.972883
27.92792793,83.11711712,-10.85747748,73.87018018,2513.917027
27.98798799,82.45285285,-11.02624625,73.7866967,2518.861171
28.04804805,81.87267267,-10.97543544,73.76903904,2523.357988
28.10810811,81.31351351,-10.86972973,73.76783784,2527.742973
28.16816817,80.75435435,-10.76402402,73.76663664,2532.127958
28.22822823,80.1951952,-10.65831832,73.76543544,2536.512943
28.28828829,79.63603604,-10.55261261,73.76423423,2540.897928
28.34834835,79.07687688,-10.44690691,73.76303303,2545.282913
28.40840841,78.51771772,-10.3412012,73.76183183,2549.667898
28.46846847,77.95855856,-10.2354955,73.76063063,2554.052883
28.52852853,77.3993994,-10.12978979,73.75942943,2558.437868
28.58858859,76.84024024,-10.02408408,73.75822823,2562.822853
28.64864865,76.28108108,-9.918378378,73.75702703,2567.207838
28.70870871,75.72192192,-9.812672673,73.75582583,2571.592823
28.76876877,75.16276276,-9.706966967,73.75462462,2575.977808
28.82882883,74.6036036,-9.601261261,73.75342342,2580.362793
28.88888889,74.04444444,-9.495555556,73.75222222,2584.747778
